match_title,open_date,sales_amount,sales_share,audience_count,screen_count,kobis_search_year,kobis_rank,kobis_movie_code,kobis_movie_type,tmdb_rank,tmdb_original_title,tmdb_release_date,tmdb_release_year,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,tmdb_genre_ids,tmdb_genres,tmdb_runtime,tmdb_tagline,tmdb_budget,tmdb_revenue,tmdb_production_companies,tmdb_cast,tmdb_directors,tmdb_keywords,tmdb_poster_url
평양성,2011-01-27,12684530500,2.1,1717566,451,2011,18,20102415,전체,423,평양성,2011-01-27,2011,2.0707,5.633,30,10752|35|36,전쟁|코미디|역사,117,한반도 역사상 가장 기상천외한 전쟁이 시작된다!,0,0,Tiger Pictures|Lotte Entertainment|Achim Pictures|M-Venture Investment|CJ Entertainment|Candle Media,정진영(Kim Yu-sin)|이문식(Thingamajig)|류승룡(Namgun)|황정민(Silla King)|윤제문(Namseng)|선우선(Gap-sun)|Kim Min-sang(Thingy)|이광수(Mundi)|이원종(Yeon Gaesomun)|신정근(Kim Heum-soon),이준익,"ancient korea|kingdom of goguryeo, korea|silla|pyongyang, north korea",https://image.tmdb.org/t/p/original/1yeN6ubYUczSy8pEtKtBccW8Amj.jpg
헬로우 고스트,2010-12-22,12259817000,2.0,1663339,472,2011,19,20101223,전체,592,헬로우 고스트,2010-12-23,2010,1.4345,7.6,121,35|18|10749|10751,코미디|드라마|로맨스|가족,111,,0,0,Water in Tree Pictures|Next Entertainment World,차태현(Gang Sang-man)|강예원(Jeong Yeon-su)|이문수(Poppy Ghost)|고창석(Chain-smoking Ghost)|장영남(Crybaby Ghost)|Cheon Bo-geun(Elementary School Student Ghost)|정규수(Jeong Joo-hwan)|구승현(Young Sang-man)|라미란(Neighbor Woman)|이한위(Shaman),Kim Yeong-tak,,https://image.tmdb.org/t/p/original/q1BhsAuwL21Ad3fC2HaSRc06JWI.jpg
그대를 사랑합니다,2011-02-17,12040035000,2.0,1645126,242,2011,20,20119337,전체,641,그대를 사랑합니다,2011-02-17,2011,1.3927,7.778,18,18|10749,드라마|로맨스,118,,0,0,Next Entertainment World|Invent Stone|KTB Network|M-Line Distribution,이순재(Kim Man-seok)|송재호(Jang Goon-bong)|윤소정(Song I-ppoon)|김수미(Goon-bong's wife)|오달수(Dal-su)|송지효(Kim Yeon-ah)|김비비(Yeong-ok)|Park Nam-hee(Man-seok's wife)|이준혁(Photographer)|강현중(Young Sang-tae),추창민,alzheimer's disease|elderly|neighborhood|based on webcomic or webtoon|그대를 사랑합니다,https://image.tmdb.org/t/p/original/lu5DjnySl2zj7jOBu54p12bRi38.jpg
특수본,2011-11-24,8096052500,1.3,1118258,471,2011,22,20110906,전체,726,특수본,2011-11-24,2011,1.3821,5.5,12,80|28|12,범죄|액션|모험,111,수사망이 좁혀질수록 누군가 먼저 움직인다,0,0,Cinergy House|Watermelon Pictures|Lotte Entertainment,엄태웅(Kim Seong-beom)|주원(Kim Ho-ryong)|정진영(Hwang Du-su)|성동일(Park In-mu)|이태임(Jung Young-soon)|김정태(Park Gyung-sik)|조재윤(Gecko)|정만식(detective)|김영재(detective)|이희준(Geun-su),황병국,detective,https://image.tmdb.org/t/p/original/2UcFiJVjyICwBQ5ahOesRgG23d7.jpg
오직 그대만,2011-10-20,7591008500,1.2,1027622,435,2011,24,20112589,전체,190,오직 그대만,2011-10-20,2011,2.6982,7.818,310,10749|18,로맨스|드라마,106,지켜주고 싶습니다. 그 여자… 보고 싶습니다. 그 남자…,0,6941450,HB Entertainment|51k|Showbox,소지섭(Cheol-min)|한효주(Jung-hwa)|강신일(Manager Choi)|박철민(Coach Bang)|오광록(Park Chang-soo)|김미경(Nun)|진구(Workshop CEO)|Jung Jae-jin(Switching Shift Elder)|박성근(Ophthalmologist)|김정팔(Dispatched Police),송일곤,attraction|blind woman|dramatic,https://image.tmdb.org/t/p/original/zqw49pO0FndPZL5LVkq85JCNIVH.jpg
체포왕,2011-05-04,6413325500,1.0,870887,407,2011,26,20119619,전체,872,체포왕,2011-05-04,2011,1.2514,6.6,32,28|35,액션|코미디,117,"미치도록 잡고... 아니, 되고 싶었다!",0,0,Lotte Entertainment|Cine2000,박중훈(Hwang Jae-sung)|이선균(Jeong Eui-chan)|이성민(Detective Jo)|김정태(Detective Song)|고주연(Soo-yeon)|한수연(Hyun-sook)|Kang Ki-hwa(Hye-jin)|정도원(Detective Shin)|안용준(Detective Kim)|임원희(Ph.D Ko),Lim Chan-ik,,https://image.tmdb.org/t/p/original/6kdgoukmOBriTTcI5Ar2d29Dvnh.jpg
만추,2011-02-17,6300514500,1.0,844103,444,2011,27,19820019,전체,934,만추,2011-02-17,2011,1.4872,6.792,72,18|10749,드라마|로맨스,113,"만난 지 하루, 사랑에 빠졌습니다",6200000,4820000,North by Northwest Entertainment|SCS Entertainment|Film Workshop,현빈(Hoon)|탕웨이(Anna)|Jun Kim(Wang Jing)|John Wu(Anna's Husband)|Danni Lang(Jiang Huang)|Katarina Choi(Isabel)|김서라(Ok-ja)|박미현(Gil-soon)|James C. Burns(Steve)|Nikita Breznikov(Steve's Henchman),김태용,"prisoner|seattle, washington|gigolo|vacation|man woman relationship|remake|female prisoner|stranger|autumn",https://image.tmdb.org/t/p/original/nZjvwQ4bwPW7bBVCCQKUDWwk8Jm.jpg
퍼펙트 게임,2011-12-21,5996408000,1.0,811772,413,2011,28,20113260,전체,713,퍼펙트 게임,2011-12-21,2011,1.3071,6.8,15,18,드라마,127,세상은 우리를 라이벌이라 부릅니다,0,0,Lotte Entertainment|Dasepo Club|Dong-a Export,조승우(Choi Dong-woon)|양동근(Seon Dong-yeol)|최정원(Kim Seo-hyung)|마동석(Park Man-soo)|조진웅(Kim Yong-chul)|손병호(Kim Eung-ryong)|현쥬니(Min-kyung)|김영민(Kang Sung-tae)|김민재(Bong-soo)|공정환(Yoo Doo-yeol),박희곤,"baseball|busan, south korea",https://image.tmdb.org/t/p/original/dstMWctWVTU6RWp60PcCdTS9ipM.jpg
화이트: 저주의 멜로디,2011-06-09,5587166000,0.9,790954,305,2011,29,20110233,전체,994,화이트: 저주의 멜로디,2011-06-09,2011,1.1425,6.343,86,27|10402|9648,공포|음악|미스터리,106,"“죽도록 뜨고 싶어? 죽더라도 뜨고 싶어!”  아이돌의 화려한 무대 위, 잔혹한 무대 뒤 이야기",0,0,CJ Entertainment,함은정(Eun-ju)|황우슬혜(Soon-ye)|Maydoni(Shin-ji)|Choi Ah-ra(A-rang)|변정수(Agency Representative)|김영민(Lee Tae-yong)|진세연(Jeni)|이준호(Music Fever Host)|김기방(Manager)|이윤건(Detective),Kim Sun|Kim Gok,vhs|ghost|girl group|k-pop|idol group,https://image.tmdb.org/t/p/original/13ChwQ3tMlBcEzHRFQC4NU0C23z.jpg
푸른소금,2011-08-31,5739824500,0.9,771699,476,2011,30,20110301,전체,842,푸른소금,2011-08-31,2011,1.4004,6.451,72,28|18|10749,액션|드라마|로맨스,120,아름답고 슬픈 저격,0,0,CJ Entertainment,송강호(Du-heon)|신세경(Se-bin)|천정명(Ae-kku)|이종혁(Baek Kyung-min)|김민준(K)|윤여정(Madame Kang)|이솜(Lee Eun-jung)|장영남(Culinary School Instructor)|이종필(Yong-soo)|조영진(Boss Ki),이현승,friendship|assassin|cooking|deception|love|mafia,https://image.tmdb.org/t/p/original/iyYp4IzPZvIZw3am03bVPIFoq38.jpg
황해,2010-12-22,5973050500,1.0,763270,618,2011,31,20101222,전체,135,황해,2010-12-22,2010,3.1514,7.357,577,18|53|80,드라마|스릴러|범죄,156,바다를 건너자 모두가 적이 됐다,8170000,15789762,Wellmade Starm|Popcorn Film|20th Century Fox Korea|Showbox|Fox International Productions Korea|Hong Kong Asia Film Financing Forum|Asia Culture Technology Investment|Michigan Venture Capital,하정우(Kim Gu-nam)|김윤석(Myeon Jeong-hak)|조성하(Kim Tae-won)|이철민(Choi Seong-nam)|곽도원(Professor Kim Seung-hyun)|Im Ye-won(Professor's Wife)|Tak Sung-eun(Gu-nam's Wife)|이엘(Joo-young)|정만식(Detective 1)|정민성(Detective 2),나홍진,"immigrant|police|taxi driver|gang war|beaten to death|murder|knife fight|mahjong|bloodbath|money problems|shocking|korean chinese|seoul, south korea",https://image.tmdb.org/t/p/original/nuZvoEcYkIIQLMIMbQ72dmlyDJD.jpg
고양이: 죽음을 보는 두 개의 눈,2011-07-07,4779530000,0.8,672071,304,2011,34,20110296,전체,256,고양이: 죽음을 보는 두 개의 눈,2011-07-07,2011,2.634,6.715,107,27|9648,공포|미스터리,106,구해줘...,0,0,Next Entertainment World|Pinehouse Film,박민영(So-yeon)|김동욱(Jun-seok)|Kim Ye-ron(Hee-jin)|신다은(Bo-hee)|이상희(District Captain)|조현우(Chief Park)|박현영(Constable Kim)|서이숙(Psychiatrist)|김민재(Animal Rescue Administrator)|윤가현(Bi-dan's Mother),Byun Seung-wook,,https://image.tmdb.org/t/p/original/tazeBL08ynczxo1A14Vb3jnADVU.jpg
티끌모아 로맨스,2011-11-10,2941601500,0.5,423915,294,2011,39,20112762,전체,605,티끌모아 로맨스,2011-11-10,2011,1.2332,6.907,43,10749|35,로맨스|코미디,114,"님도 보고, 돈도 버는 생계밀착형 로맨스가 시작된다!",0,0,Filament Pictures,송중기(Ji-woong)|한예슬(Hong-sil)|이상엽(Gwan-woo)|신소율(Kyung-joo)|라미란(Landlady)|이재원(Tae-woo)|Kim Ji-na(Mi-ro)|한사명(Director Young Man)|이용주(Chang-geun)|문세윤(Sysop),김정환,,https://image.tmdb.org/t/p/original/kHD3wMql5MQkJZYyN8i2e0iiNBa.jpg
커플즈,2011-11-02,2705566500,0.4,360045,387,2011,41,20110612,전체,896,커플즈,2011-11-02,2011,1.0783,6.4,12,35|10749,코미디|로맨스,110,,0,0,M-Line Distribution|iMBC|Barunson E&A|Sidus|Sio Film,김주혁(Yoo-suk)|이시영(Na-ri)|오정세(Bok-nam)|이윤지(Ae-yeon)|공형진(Byeong-chan)|배슬기(Soo-jin)|Jeon Soo-jin(Prospective Bride)|주예린(Reporter)|전수지(Back-up Bride)|김응수(Chairman Kim),정용기,,https://image.tmdb.org/t/p/original/kxXsTYRrrYUwo9tcoCoL4m7k53c.jpg
세상에서 가장 아름다운 이별,2011-04-20,2295897500,0.4,316788,340,2011,42,20119627,전체,891,세상에서 가장 아름다운 이별,2011-04-20,2011,1.021,7.8,5,18,드라마,125,,0,0,Next Entertainment World|Soo Film,배종옥(In-hee)|김갑수(Cheol)|김지영(Grandmother)|서영희(Sun-ae)|유준상(Geun-duk)|류덕환(Jung-soo)|박하선(Yeon-soo)|이솜(Jae-young)|박혁권(Yeon-soo's lover)|박희본(Wife of Yeon-soo's lover),민규동,,https://image.tmdb.org/t/p/original/sJZD0I0tNpTR6FDhTsr5XCNwzTW.jpg
도둑들,2012-07-25,93664808500,11.2,12983178,1072,2012,1,20124034,전체,166,도둑들,2012-07-25,2012,3.1919,6.711,330,28|80,액션|범죄,135,"10인의 도둑, 1개의 다이아몬드 그들이 움직이기 시작했다!",0,83519699,Caper Film|Michigan Venture Capital|Showbox|OCN|KM Culture|Korean Film Council|KT alpha|KTB Network|SCS Entertainment|Sega Sammy Entertainment|October Pictures|CJ Investment,김윤석(Macao Park)|김혜수(Pepsee)|이정재(Popie)|전지현(Yenicall)|임달화(Chen)|김해숙(Chewing Gum)|오달수(Andrew)|김수현(Zampano)|曾国祥(Johnny)|李心潔(Julie),최동훈,heist|hong kong|safecracker|diamond theft|criminal gang|macau,https://image.tmdb.org/t/p/original/ujIHEzt2EEboVzjQoWZBMYdAt1v.jpg
"광해, 왕이 된 남자",2012-09-13,88899448769,10.6,12319390,810,2012,2,20124079,전체,276,"광해, 왕이 된 남자",2012-09-13,2012,3.0142,7.726,168,18|36,드라마|역사,131,"광해군 8년, 모두가 꿈 꿔온 또 한명의 왕이 있었다.",0,0,CJ Entertainment|Realies Pictures,이병헌(King Gwang-hae / Clown Ha-sun)|류승룡(Chief Secretary Heo-gyun)|한효주(Queen Joong-jun)|김인권(Warrior Do)|장광(Eunuch)|심은경(Court Lady Sa-wol)|박지아(Lady Han)|신정근(Lee Jeong-rang)|전국향(Lady Jeong)|이엘(Lady Ahn),추창민,politics|royalty|body double|impostor|king|period drama|historical|royal court|identity swap|masquerade|17th century|joseon dynasty (1392–1910),https://image.tmdb.org/t/p/original/6Pg5AwsJUqeGanGOWcaljQXGe5g.jpg
늑대소년,2012-10-31,46590107000,5.6,6654390,706,2012,3,20124054,전체,168,늑대소년,2012-10-31,2012,3.0919,7.653,288,10749|14,로맨스|판타지,125,"체온 46도, 혈액형 판독불가…  세상에 없어야 할 위험한 존재 늑대소년, 운명적 사랑에 빠지다!",0,0,Bidangil Pictures|Silk Road,송중기(Wolf-Boy / Chul-soo)|박보영(Young Sun-yi / Eun-ju)|유연석(Ji-tae)|이영란(Sun-yi)|장영남(Sun-yi's Mother)|김향기(Sun-ja)|유승목(Professor Kang Tae-shik)|Shin Bi(Dong-mi)|우정국(Mr. Jung)|Goo Bon-im(Mrs. Jung),조성희,single parent|feral child|werewolf|orphan,https://image.tmdb.org/t/p/original/4aQ3yPJCNILHR9SrtBjMmCvn3nG.jpg
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,36538823500,4.4,4719872,699,2012,5,20113557,전체,182,범죄와의 전쟁,2012-02-02,2012,2.3206,6.914,186,80|53,범죄|스릴러,133,"비리 세관 공무원 최익현, 보스 최형배를 만나다",125000,0,Palette Pictures|Showbox,최민식(Choi Ik-hyun)|하정우(Choi Hyung-bae)|곽도원(Jo Beom-seok)|마동석(Hubby Kim Seo-bang)|김성균(Park Chang-woo)|김혜은(Night Club Manager)|조진웅(Kim Pan-ho)|강영일(MC)|김영선(Ik-hyun's Wife)|권태원(Director Ho),윤종빈,"police|gangster|cop|decomposition|1980s|bad guy|busan, south korea|south korea",https://image.tmdb.org/t/p/original/4tJYmvn7VgDsrAYHgB3qebVWTut.jpg
내 아내의 모든 것,2012-05-17,34222160500,4.1,4598583,563,2012,6,20113554,전체,776,내 아내의 모든 것,2012-05-17,2012,1.7044,6.6,52,35|10749,코미디|로맨스,121,오늘 아내에게 카사노바를 선물했다,0,0,Zip Cinema|Next Entertainment World|Soo Film|Daemyung Culture Factory,이선균(Lee Du-hyeon)|임수정(Yeon Jeong-in)|류승룡(Chang Seong-ki)|이광수(Producer Choi)|김정태(Park Kwang-sik)|이성민(Director Na)|김도영(Director Na's Wife)|김지영(Writer Song)|박희본(Female Cop at Police Station)|남명렬(Divorce Court Judge),민규동,infidelity|casanova,https://image.tmdb.org/t/p/original/mNS9UU8sAhBaffVVU9vPNs4MxvY.jpg
연가시,2012-07-05,32175400664,3.8,4515833,759,2012,7,20124062,전체,436,연가시,2012-07-05,2012,2.062,6.6,117,53|18,스릴러|드라마,109,치사율 100% 변종 연가시 감염주의보!,0,0,CJ Entertainment|Ozone Film,김명민(Jae-hyeok)|문정희(Kyeong-soon)|김동완(Jae-pil)|이하늬(Yeon-joo)|엄지성(Joon-woo)|강신일(Dr. Hwang)|조덕현(Tae-won)|전국환(Prime Minister)|최정우(Health Minister)|이형철(Jason Kim),Park Jung-woo,pharmaceutical industry|outbreak|disaster|epidemic|parasite|biological disaster|south korea|han river,https://image.tmdb.org/t/p/original/5b9zIJ4AptjotWGsjPXox01rx5u.jpg
건축학개론,2012-03-22,30219800500,3.6,4110645,593,2012,8,20124074,전체,499,건축학개론,2012-03-22,2012,1.7767,7.3,138,35|10749,코미디|로맨스,118,우리 모두는 누군가의 첫사랑이었다,0,0,Myung Films,엄태웅(Lee Seung-min)|한가인(Yang Seo-yeon)|이제훈(Young Lee Seung-min)|수지(Young Yang Seo-yeon)|조정석(Nab Deuk-yi)|유연석(Jae-wook)|김의성(Professor Kang)|조현철(Dong-goo)|고준희(Eun-chae)|Kim Dong-ju(Seung-min's Mother),이용주,"architect|jeju island|seoul, south korea|campus romance",https://image.tmdb.org/t/p/original/6ChBkMt5fwYPtKvbtq8irLfuKHc.jpg
댄싱퀸,2012-01-18,30129259500,3.6,4057546,534,2012,9,20113743,전체,595,댄싱퀸,2012-01-18,2012,1.535,6.2,28,10749|18|35,로맨스|드라마|코미디,124,서울 시장 후보의 아내가 댄싱퀸?!,0,0,CJ Entertainment|JK Film,엄정화(Uhm Jung-hwa)|황정민(Hwang Jung-min)|이한위(Han-wi)|정성화(Jong-chan)|라미란(Myeong-ae)|정규수(Myeong-goo)|이대연(Pil-je)|서동원(Jeong-cheol)|오나라(Lari)|최우리(Linda),이석훈,dancer|election campaign|mayoral election,https://image.tmdb.org/t/p/original/t0TmIy5LfKvU6qDoBXPTvvQm4oM.jpg
26년,2012-11-29,21111878145,2.5,2940475,604,2012,11,20088506,전체,454,26년,2012-11-29,2012,1.5036,6.8,74,18|53,드라마|스릴러,135,"26년의 기다림, 복수는 시작되었다!",4330000,0,Chungeorahm Film|Invent Stone,진구(Gwak Jin-bae)|한혜진(Shim Mi-jin)|임슬옹(Gwon Jeong-hyeok)|배수빈(Kim Ju-an)|이경영(Kim Gap-se)|장광(The man)|이미도(Jin-bae's Mother)|조덕제(Ma Sang-yeol)|김의성(Mr. Choi)|김도윤(Police Officer in Plain Clothes),Cho Keun-hyun,based on comic|revenge|gwangju uprising|gwangju|korea president|based on webcomic or webtoon|chun doo-hwan,https://image.tmdb.org/t/p/original/ljo7aXcGIdYZm90MppokHKreYTT.jpg
내가 살인범이다,2012-11-08,20392266000,2.4,2729798,547,2012,12,20124075,전체,671,내가 살인범이다,2012-11-08,2012,1.6061,7.138,326,28|53,액션|스릴러,119,"15년의 공소시효가 끝난 후, 놈이 나타났다!",0,0,Dasepo Club|Showbox,정재영(Det. Choi Hyung-goo)|박시후(Lee Doo-suk)|정해균(Jay)|김영애(Han Ji-soo)|최원영(Jung Tae-suk)|김종구(Snake Hunter)|장광(Director)|조은지(Choi Kang-sook)|오용(Kang Do-hyeok)|박웅(Director Kim),정병길,,https://image.tmdb.org/t/p/original/5s6B5o36cUSmmpc8UWseJ9zaQye.jpg
화차,2012-03-08,18459203000,2.2,2436400,548,2012,14,20124050,전체,406,화차,2012-03-08,2012,1.7441,7.078,90,9648|53,미스터리|스릴러,117,"이름, 나이, 가족... 그녀의 모든 것은 가짜다!",0,16,Filament Pictures,김민희(Cha Kyeong-seon)|이선균(Jang Moon-ho)|조성하(Kim Jong-geun)|송하윤(Han-na)|최덕문(Ha Seong-sik)|이희준(No Seung-joo)|김민재(Moon-ho's Friend)|최일화(Moon-ho's Father)|박해준(Loan Shark)|양은용(Ki-tae's Wife),변영주,based on novel or book|secret identity|missing person|woman director,https://image.tmdb.org/t/p/original/jVXQhAnjgp6HAmXsSQcZEcL1sNj.jpg
이웃사람,2012-08-22,18087442369,2.2,2434099,600,2012,15,20125920,전체,265,이웃사람,2012-08-22,2012,2.7655,7.255,100,53|9648,스릴러|미스터리,110,이웃사람들이 놈을 눈치채기 시작했다.,0,0,Lotte Entertainment|Mr. Romance|kth|Zion Ent Inc.,김윤진(Kyung-hee)|김성균(Ryu Seung-hyuk)|김새론(Yoo Soo-yeon / Won Yeo-seon)|마동석(Ahn Hyuk-mo)|임하룡(Kim Sang-young)|도지한(Ahn Sang-yoon)|장영남(Ha Tea-seon)|천호진(Pyo Jong-rok)|조주경(Neighbor)|김정태(ghost),Kim Hwi,based on comic|based on webcomic or webtoon,https://image.tmdb.org/t/p/original/xVvKWcqiHFMT5EcllYyTOUu95gu.jpg
타워,2012-12-25,14658256500,1.7,2014589,617,2012,16,20124039,전체,176,타워,2012-12-25,2012,2.9507,6.995,317,28|18,액션|드라마,121,사랑하는 사람을 위해 반드시 살아야한다!,0,36531605,CJ Entertainment|The Tower Pictures,설경구(Kang Young-ki)|손예진(Seo Yoon-hee)|김상경(Lee Dae-ho)|조민아(Lee Ha-na)|도지한(Lee Seon-woo)|안성기(Fire Station Chief)|이한위(Kim Jang-ro)|차인표(President Jo)|송재호(Mr. Yoon)|이주실(Mrs. Jung),김지훈,"helicopter|fire|panic|christmas party|survival|disaster|explosion|tower|firefighter|christmas|christmas eve|south korea|seoul, south korea",https://image.tmdb.org/t/p/original/3CgvLrylM3RmjRmZXyb6B4AXtj2.jpg
코리아,2012-05-03,13448848500,1.6,1872681,537,2012,17,20124045,전체,728,코리아,2012-05-03,2012,1.4631,7.7,53,18,드라마,127,하나가 되는 것부터 우리에겐 도전이었다,0,0,CJ Entertainment|The Tower Pictures,하지원(Hyun Jung-hwa)|배두나(Li Bun-hui)|한예리(Yu Sun-bok)|박철민(Coach Lee)|김응수(Director Cho)|이종석(Choi Kyung-sub)|오정세(Oh Du-man)|박영서(Chu Il-seong)|천우희(Jung-hwa's Younger Sister)|최윤영(Choi Yeon-jung),Moon Hyun-sung,sports|ping pong|korea|south korea|north korea|inter-korean relations,https://image.tmdb.org/t/p/original/q8I9NjukZtl3xzTMErJrEcesdJH.jpg
나의 PS 파트너,2012-12-06,13548606616,1.6,1786831,552,2012,18,20124936,전체,348,나의 PS 파트너,2012-12-06,2012,3.1232,6.782,103,10749|35,로맨스|코미디,114,,0,0,CJ Entertainment,김아중(Yoon-jung)|지성(Hyun-seung)|신소율(So-yeon)|강경준(Seung-joon)|김성오(Seok-woon)|Moon Ji-yoon(Young-min)|김보미(Yoon-mi)|김보연(Yoon-Jung's Mother)|옥지영(Soo-Jung)|Shin Hae-Chul(Singer),변성현,,https://image.tmdb.org/t/p/original/iroszHPRH5Usrd4t2gypPo6NRGp.jpg
반창꼬,2012-12-19,12459852719,1.5,1730535,466,2012,19,20124399,전체,193,반창꼬,2012-12-19,2012,2.8874,7.212,92,18|10749|35,드라마|로맨스|코미디,120,"사람 구하기 좋은 날, 우린 만났다!",0,16786016,Next Entertainment World,한효주(Mi-soo)|고수(Kang-il)|마동석(Captain)|김성오(Yong-soo)|현쥬니(Hyun-kyung)|진서연(Ha-yoon)|윤세웅(Chang-ho)|오유나(Ji-yeong)|이도아(Neurologist)|조경훈(Hyeong-goo),Jeong Gi-hoon,love story,https://image.tmdb.org/t/p/original/vWfHD0ddfGsV6sv5QnGKY01OZJ.jpg
러브픽션,2012-02-29,13200412500,1.6,1726202,617,2012,20,20113916,전체,924,러브픽션,2012-02-29,2012,1.4544,6.6,24,35|10749,코미디|로맨스,121,“내 과거의 사랑은 비록 모두 실패로 끝났지만 아직도 사랑은 유효하다”,0,0,Fantagio|Next Entertainment World,하정우(Goo Joo-wol / Detective Ma Dong-wook)|공효진(Lee Hee-jin / Kim Hae-young)|유인나(Soo-jung / Kyung-sook)|조희봉(Publisher Kwak / Detective Squad Chief Kwak)|이병준(M)|지진희(Goo Joo-ro)|곽도원(Director Hwang)|서현우(Yi-gyu)|손병욱(Juwol's Homeroom Teacher)|전수지(Art Teacher),전계수,love fiction,https://image.tmdb.org/t/p/original/6VDGYpvzXNWgzSkDp7GzKOZDCKJ.jpg
공모자들,2012-08-29,12240964500,1.5,1646142,496,2012,21,20124063,전체,892,공모자들,2012-08-28,2012,1.1642,6.5,50,18|28|53|80,드라마|액션|스릴러|범죄,111,사람들의 심장이 거래 되고 있다!,0,0,Cinus Entertainment|타임스토리그룹,임창정(Young-gyu)|최다니엘(Sang-ho)|조윤희(Yoo-ri)|Jung Ji-yoon(Chae-hee)|조달환(Joon-sik)|최일화(Chul-soo)|김재화(Chun-ja)|라미란(Smuggler),김홍선,korean chinese|organ trafficking,https://image.tmdb.org/t/p/original/1hRLLA5X8CQ2JhZCirelS4lwglr.jpg
하울링,2012-02-16,11765293500,1.4,1612554,550,2012,22,20110249,전체,809,하울링,2012-02-16,2012,1.5611,6.054,102,9648|53,미스터리|스릴러,114,늑대개는 대체 왜 이들을 살해한 것일까?,0,0,Opus Pictures|CJ Entertainment,송강호(Jo Sang-gil)|이나영(Cha Eun-young)|이성민(Young-cheol)|신정근(Mr. Seo)|임현성(Kyuong-su)|정인기(Coroner)|남보라(Jung-Ah)|조영진(Jung-Ah's dad)|김종구(Manager Jo Ryeon-So)|이태리(Jo Sang-gil's son),유하,police|animal attack|sexism|animal death|killer dog|crime,https://image.tmdb.org/t/p/original/cUsnJFncoHt4mISkIZdc025PwD9.jpg
용의자X,2012-10-18,11241013000,1.3,1552055,553,2012,23,20124057,전체,584,용의자X,2012-10-18,2012,1.7293,6.6,74,53|9648,스릴러|미스터리,110,그의 사랑이 단서가 된다,0,10187540,K&Entertainment|CJ Entertainment|Studio K|Twin,류승범(Suk-go)|이요원(Hwa-sun)|조진웅(Detective Min-bum)|김윤성(Sang-joon)|김보라(Yoon-ah)|이석준(Nam Tae-woo)|임성민(Jung-sook)|곽민호(Chul-min)|권해효(Team Leader)|남문철(Director),방은진,based on novel or book|woman director,https://image.tmdb.org/t/p/original/xioEsadWyXEN6RDcAFCaIe71bIw.jpg
차형사,2012-05-30,9752555296,1.2,1346754,433,2012,24,20124065,전체,953,차형사,2012-05-30,2012,1.4597,5.5,26,35|10749,코미디|로맨스,110,런웨이에 잠입하라!,0,0,,강지환(Cha Cheol-soo)|성유리(Go Yeong-jae)|이수혁(Kim Sun-ho)|김영광(Han Seung-woo)|Shin Min-chul(Min-seung)|신정근(Squad chief Yoo)|이희준(Kyeong-seok)|김지영(Ko Young-jae (young))|박보검(Cha Cheol-soo (young))|라미란(Teacher Song),신태라,cop|modeling,https://image.tmdb.org/t/p/original/1mUJk6MroSZeUchmuiT8VyGWKY2.jpg
은교,2012-04-25,9917728000,1.2,1346274,521,2012,25,20124066,전체,91,은교,2012-04-25,2012,4.8824,6.7,100,18|10749,드라마|로맨스,129,서로 갖지 못한 것을 탐하다,0,9048531,Lotte Entertainment|Jung Ji-woo Film|Let's Films,박해일(Lee Jeok-yo)|김무열(Seo Ji-woo)|김고은(Han Eun-gyo)|정만식(President Park)|Park Chul Hyeon(Blondie)|Jang Yun-sil(Reporter Kim)|안민영(Poet)|강덕중(Seo Ji-woo's Junior)|Kim  Seo-kyung(Car Service Center Technician)|박진우(Mr. Kim),정지우,older man younger woman relationship|young girl seduces old man,https://image.tmdb.org/t/p/original/tyT8i7zOfMvge8cOoYin0wLSHeL.jpg
간기남,2012-04-11,9356404500,1.1,1246185,356,2012,27,20124032,전체,401,간기남,2012-04-11,2012,1.8903,5.7,26,35|80|53,코미디|범죄|스릴러,117,,0,0,kth|The Dream & Pictures|Showbox,박희순(Kang Seon-woo)|박시연(Kim Soo-jin)|주상욱(Detective Han Gil-ro)|김정태(Detective Seo)|이한위(Chief detective Sa)|이광수(Gi-poong)|차수연(Hye-young)|Baek Yoon-jae(Soo-jin 2)|김정학,Kim Hyoung-jun,,https://image.tmdb.org/t/p/original/rIyoNEbhTJGRbCbvxnqN0KIHyFs.jpg
돈의 맛,2012-05-17,8780178611,1.0,1166018,643,2012,29,20124064,전체,350,돈의 맛,2012-05-17,2012,2.5001,5.5,64,18,드라마,115,"젊은 육체를 탐한 재벌, 그들의 재력을 탐한 젊음",0,0,Above the Line Productions|Lotte Entertainment|kth|Cinergy House,김강우(Joo Young-jak)|백윤식(Chairman Yoon)|윤여정(Baek Geum-ok)|Maui Taylor(Eva)|김효진(Yoon Nami)|정원중(Middle-aged Man)|온주완(Yoon-chul / Charlie)|권병길(President Roh)|황정민(President Roh's Assistant)|갈소원(Ri-ni),임상수,chaebol,https://image.tmdb.org/t/p/original/5wBYDAOVgPHGZzREG2mbVRzA3xv.jpg
